Health Center Name,Site Address,Site Web Address,Site Telephone Number,Organization Email Address,,Site City,Site State,Site Zip Code,Latitude,Longitude
FAMILY FIRST HEALTH CORPORATION,1230 High St,www.familyfirsthealth.org,717-632-9052,jenglerth@familyfirsthealth.org,,Hanover,PA,17331-1127,-77.00290203,39.82382595
CITY OF CINCINNATI,2520 Madison Rd,NA,513-363-9023,jeremy.gray@cincinnati-oh.gov,,Cincinnati,OH,45208-1257,-84.45034454,39.14097334
Open Door Community Health Centers,2412 Buhne St,,707-443-4666,,,Eureka,CA,95501-3207,-124.1411518,40.78592804
Primary Health Services Center,7604 US-80,www.phsccenter.org,318-596-1700,,,Ruston,LA,71270-1164,-92.71734021,32.50656622
GOLDEN VALLEY HEALTH CENTERS INC,4150 Patterson Rd,www.gvhc.org,209-383-1848,,,Riverbank,CA,95367-3126,-120.9201081,37.73261956
AltaMed Health Services Corporation,1305 S Concord St # 18,www.altamed.org,323-981-9816,,,Los Angeles,CA,90023-3503,-118.2081921,34.02071134
"Primary Care Of Southwest Georgia, Inc.",360 College St,www.pcswga.org,229-723-2660,,,Blakely,GA,39823-2554,-84.93841396,31.37935245
Clinica Sierra Vista,8787 Hall Rd,www.clinicasierravista.org,661-845-3731,stacy.ferreira@clinicasierravista.org,,Lamont,CA,93241-1953,-118.9080955,35.25967021
"CODMAN SQUARE HEALTH CENTER, INC",637 Washington St,http://www.codman.org,617-825-9660,,,Dorchester,MA,02124-3510,-71.07201546,42.2893818
"Change, Incorporated",200 Luray Dr,www.changeinc.org,740-314-8258,,,Wintersville,OH,43953-3973,-80.70448635,40.37969566
PEDIATRIC & FAMILY MEDICAL CENTER,1921 Maple Ave,www.eisnerhealth.org,213-747-5542 x3563,,,Los Angeles,CA,90011-1036,-118.262184,34.0286625
IRONTON AND LAWRENCE COUNTY AREA COMMUNITY ACTION ORGANIZATION,120 N 3rd St,www.familymedicalcenters.org,740-532-3140,bummerbowwow@gmail.com,,Ironton,OH,45638-1574,-82.68602395,38.53562403
"NORTHEAST MISSOURI HEALTH COUNCIL, INC.",402 W Jefferson St STE A,,660-627-2229,elymer@nmhcinc.org,,Kirksville,MO,63501-3407,-92.58627302,40.19310873
GREATER PHILADELPHIA HEALTH ACTION INC,2501 Coral St,,215-925-2400,,,Philadelphia,PA,19125,-75.12690587,39.98459033
"Advance Community Health, Inc.",1001 Rock Quarry Rd,www.advancechc.org,919-255-6721,,,Raleigh,NC,27610-3825,-78.61616887,35.76714562
"Community Care of West Virginia, Inc.",37 Main St,www.ccwv.org,304-924-6262,heather.powell@ccwv.org,,Buckhannon,WV,26201-2716,-80.22943059,38.99397499
Crescent Community Health Center,1690 Elm St STE 400,www.crescentchc.org,563-690-2860,,,Dubuque,IA,52001-3686,-90.66477079,42.50928308
RICHLAND MEDICAL CLINIC INC,27600 Highway AA,,573-765-5141,,,Laquey,MO,65534-7694,-92.31355529,37.76181362
EAST BAY COMMUNITY ACTION PROGRAM INC,1 John H Chafee Blvd,,401-437-1008 x165,droy@ebcap.org,,Newport,RI,02840-1096,-71.31307698,41.51748299
"Edward M. Kennedy Community Health Center, Inc.",115 NE Cutoff BLDG 2,,508-854-2122,steve.kerrigan@kennedychc.org,,Worcester,MA,01606-1224,-71.76961938,42.3095054
WAYNE MEMORIAL COMMUNITY HEALTH CENTERS,1592 Route 739 STE 2,wmchc.net,570-775-8838,,,Dingmans Ferry,PA,18328-3513,-74.92050352,41.27263972
COUNTRY DOCTOR COMMUNITY CLINIC,301 21st Ave E,,206-413-2100,mlcraig@cdchc.org,,Seattle,WA,98112-5318,-122.3047475,47.62182798
Neighborcare Health,6020 35th Ave SW,www.neighborcare.org,206-461-6950,,,Seattle,WA,98126-3002,-122.3763618,47.5477602
"Providence Community Health Centers, Inc., The",335R Prairie Ave,,401-444-0430,,,Providence,RI,02905-2426,-71.41467562,41.80517002
"Family Health Services Of Darke County, Inc.",702 N Main St,www.buildinghealthylives.org,937-692-6601,awoodall@familyhealth.cc,,Arcanum,OH,45304-1421,-84.55361512,39.99978561
COUNTY OF VENTURA,2220 E Gonzales Rd,,805-981-5151,,,Oxnard,CA,93036-0619,-119.1477907,34.21873452
"Community Health Centers Of Pinellas, Inc.",612 Dr Martin Luther King Jr St N,www.evarahealth.org,727-824-8181,,,St Petersburg,FL,33705-1403,-82.6466775,27.77865399
CITY OF CINCINNATI,2030 Fairfax Ave,NA,513-363-7821,jeremy.gray@cincinnati-oh.gov,,Cincinnati,OH,45207-1943,-84.46212573,39.13474718
COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS INC,312 S Maple St,,785-448-6988,,,Garnett,KS,66032-1333,-95.24925256,38.28167898
"COMMUNITY MEDICAL CENTERS, INC.",2650 Wigwam Dr,,209-940-5600,cnoguera@communitymedicalcenters.org,,Stockton,CA,95205-2460,-121.2570775,37.98651462
MCR HEALTH INC,5309 E State Road 64,,941-747-9818,pcarnegie@mcrhs.org,,Bradenton,FL,34208-5534,-82.49584867,27.49494509
YAKIMA NEIGHBORHOOD HEALTH SERVICES,2501 Business Ln,https://www.ynhs.org,509-853-2385,,,Yakima,WA,98901-1167,-120.4665471,46.60888114
"Star Community Health, Inc.",220 Ferry St,starcommunityhealth.org,484-503-8175,Mark.Roberts@StarCommunityHealth.org,,Easton,PA,18042-3674,-75.20773525,40.68974075
AltaMed Health Services Corporation,4010 E Chapman Ave STE C,www.altamed.org,714-500-0360,,,Orange,CA,92869-3990,-117.810967,33.78773249
"Operation Samahan, Inc.",2743 Highland Ave,www.operationsamahan.org,844-200-2426,eprimero@samahanhealth.org,,National City,CA,91950-7410,-117.0920332,32.6610726
"UNITED COMMUNITY AND FAMILY SERVICES, INC.",165 Mckinley Ave,,860-887-5005,jgranger@ucfs.org,,Norwich,CT,06360-3509,-72.07819521,41.53534403
"St. Francis House NWA, Inc.",2326 Cardinal Dr,,479-751-7417,,,Springdale,AR,72764-5735,-94.10676421,36.17252631
"IBERIA COMPRHESIVE COM HEALTH CNTR, INC.",800 Charity St,www.icchc.org,337-893-3443,accounting@icchc.org,,Abbeville,LA,70510-5239,-92.1285649,29.97290288
YAKIMA NEIGHBORHOOD HEALTH SERVICES,1630 S 16th Ave STE 10,https://www.ynhs.org/,509-453-3106,,,Yakima,WA,98902-5711,-120.5303956,46.57512077
BEHAVIORAL HEALTH SERVICES INC,23251 Main St,,310-830-4561,danny@wewritethegrants.com,,Carson,CA,90745-5229,-118.2756674,33.81403302
"Mercy Health Services, Inc.",815 Glass Ln,,615-794-4837,cindys@mercytn.org,,Franklin,TN,37064-2465,-86.88160541,35.92693885
"Community Health Center, Incorporated",141 Franklin St,www.chc1.com,203-969-0802,mark@chc1.com,,Stamford,CT,06901-1014,-73.54226374,41.05970413
"FAMILY HEALTH CARE CLINIC, INC.",2506 Highway 51 SE,www.familyhealthcareclinic.com,800-508-7481,,,Bogue Chitto,MS,39629-5183,-90.46111966,31.42953117
"Community Health Center, Incorporated",Kaplan Dr,,860-632-2158,mark@chc1.com,,Middletown,CT,6457,-72.68296325,41.58574195
GREATER PHILADELPHIA HEALTH ACTION INC,640 Snyder Ave,WWW.GPHAINC.ORG,215-334-4900,,,Philadelphia,PA,19148-2419,-75.15791489,39.92284137
Cornerstone Family Healthcare,100 Broadway,www.ghvfhc.org,845-569-8412,,,Newburgh,NY,12550-5514,-74.0110889,41.50028135
"Aaron E. Henry Community Health Services Center, Inc.",600 Ohio Ave,http://www.aehchc.org,662-624-4292,dadavis@aehchc.org,,Clarksdale,MS,38614-6020,-90.55000295,34.20438086
"Franklin Primary Health Center, Inc.",990 Cody Rd N,www.franklinprimary.org,251-434-8177,,,Mobile,AL,36608-4833,-88.20770665,30.71092941
TARZANA TREATMENT CENTER INC,5190 Atlantic Ave,,818-654-3887,jsalazar@tarzanatc.org,,Long Beach,CA,90805-6510,-118.1848225,33.850451
"Health, Tennessee Dept Of",1021 Spring St,http://health.state.tn.us/,931-232-5329 x111,constance.eneh@tn.gov,,Dover,TN,37058-3302,-87.82407189,36.48304472
"Progressive Community Health Centers, Inc.",945 N 12th St,www.progressivechc.org,414-935-8000,,,Milwaukee,WI,53233-1305,-87.92718748,43.04242899
"Dirne Health Centers, Inc.",1315 W Jefferson Ave,,208-620-5250,,,St Maries,ID,83861-1429,-116.5732674,47.31426551
ARCARE,145 N Curtis Ave,www.arcare.net,870-347-2534,,,Pea Ridge,AR,72751-3407,-94.11682341,36.44290102
Stony Creek Community Health Center,12454 Hartley St,lelder@stonycreek.org,434-246-6100,,,Stony Creek,VA,23882-3302,-77.40037884,36.94746201
MCR HEALTH INC,3501 Cortez Rd W STE 1,www.mcr.health,941-776-4000,pcarnegie@mcrhs.org,,Bradenton,FL,34210-3197,-82.59754203,27.46235248
"Hopewell Health Centers, Inc.",8461 State Route 144,www.hopewellhealth.org,740-662-6691,,,Stewart,OH,45778-9501,-81.88015899,39.31191098
"BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER, INC.",20306 Encino Ledge STE 101,,210-233-7000,,,San Antonio,TX,78259-1832,-98.45426686,29.63043571
PRIMARY CARE MEDICAL SERVICES OF POINCIANA INC,1877 Fortune Rd,,407-943-8600,,,Kissimmee,FL,34744-4428,-81.36859157,28.30426734
ARCARE,3057 Springdale Ave,,870-347-2534,,,Springdale,AR,72762-4346,-94.16416625,36.17264831
"Community Health Center, Incorporated",289 Willow St,,203-527-5942,mark@chc1.com,,Waterbury,CT,06710-1515,-73.04851701,41.56548464
"FAMILY HEALTH CARE CLINIC, INC.",4635 Highway 80 E,www.familyhealthcareclinic.com,601-936-3306,,,Pearl,MS,39208-4226,-90.06310822,32.28360596
"LITTLE RIVERS HEALTH CARE, INC.",2420 Route 302,bmuschool.org,802-757-2711,rgibson@littlerivers.org,,Wells River,VT,05081-9750,-72.08321798,44.15539499
Konza Prairie Community Health Center Inc,361 Grant Ave,www.kpchc.org,785-238-4711,,,Junction City,KS,66441-4201,-96.82357271,39.04346318
EAST VALLEY COMMUNITY HEALTH CENTER INC,1555 S Garey Ave,evchc.org,909-620-8088,,,Pomona,CA,91766-5222,-117.7497139,34.04317912
SOUTHCENTRAL FOUNDATION,Airport Rd,http://www.scf.cc,907-729-5400,grantsdocs@scf.cc,,Iliamna,AK,99606,-154.9109893,59.76261531
"Unicare Community Health Center, Inc.",16127 Foothill Blvd,,909-884-6700,uchc@unicarechc.org,,Fontana,CA,92335-3374,-117.453116,34.10650065
"Sun River Health, Inc.",10504 Sutphin Blvd,,718-725-5000,,,Jamaica,NY,11435-5022,-73.80366613,40.69539644
Eastport Health Care Inc,55 Franklin St,http://www.eastporthealth.org,207-454-3022,,,Calais,ME,04619-1301,-67.26910407,45.18089842
"Gulf Coast Health Center, Inc.",561 State St,www.gulfcoasthc.org,409-983-1161,mthigpen@gulfcoasthc.org,,Jasper,TX,75951-5134,-93.99317919,30.90796315
CHOPTANK COMMUNITY HEALTH SYSTEM,25320 Richardson Rd,www.choptankhealth.org,410-754-5575,,,Federalsburg,MD,21632-2403,-75.82667099,38.75589601
Seattle Indian Health Board,12740 33rd Ave NE STE 200,,206-324-9360,andrewg@sihb.org,,Seattle,WA,98125-6579,-122.2921097,47.72237788
"Metro Community Provider Network, Inc.",9801 E Colfax Ave STE 130,https://stridechc.org,303-360-6276,,,Aurora,CO,80010-2155,-104.8734575,39.74036026
"Sunset Park Health Council, Inc.",335 W 24th St STE 1B,,212-947-5770 x5456,,,New York,NY,10011-1500,-73.99911594,40.74613549
ST JAMES HEALTH & WELLNESS INC,2482 Powell Rd,NA,843-527-7533,kkeller@stjamessanteefhc.com,,Georgetown,SC,29440-8590,-79.47270759,33.33015685
"Lakeshore Community Health Care, Inc",1515 Heller Ave Rm 146,,920-459-3620,,,Sheboygan,WI,53081-2445,-87.72549626,43.7624776
"SOLANO, COUNTY OF",1119 E Monte Vista Ave,http://www.solanocounty.com/depts/ph/fhs/locations_and_hours/vacaville_health_center.asp,707-469-4640,,,Vacaville,CA,95688-3009,-121.9764706,38.36022533
AltaMed Health Services Corporation,1900 E Slauson Ave STE B,www.altamed.org,323-277-7678,,,Huntington Park,CA,90255-2725,-118.2374597,33.98912375
"Sunset Park Health Council, Inc.",220 13rd St,https://nyulangone.org/locations/park-slope-family-health-center-at-nyu-langone,718-832-5980,,,Brooklyn,NY,11215-4802,-73.99013406,40.66754845
La Casa De Salud Inc.,262 E 174th St,,718-734-2539,,,Bronx,NY,10457-7152,-73.90613195,40.84460266
Belington Community Medical Services Association,70 N Sturmer St,,304-823-2800,,,Belington,WV,26250-7403,-79.93868977,39.02700502
"SUNCOAST COMMUNITY HEALTH CENTERS, INC.",14254 Dr Martin Luther King Jr Blvd,suncoast-chc.org,813-349-7700,,,Dover,FL,33527-4414,-82.21759379,27.9949627
First Choice Community Health Centers,6750 Overhills Rd,www.firstchoicechc.org,910-436-2900,,,Spring Lake,NC,28390-8872,-78.96539131,35.2564109
ACCESS HEALTH LOUISIANA,2807 S Columbia St,www.accesshealthla.org,985-785-5800,,,Bogalusa,LA,70427-7915,-89.848747,30.73938002
"Star Community Health, Inc.",520 E Broad St Ste 100,starcommunityhealth.org,484-822-7827,Mark.Roberts@StarCommunityHealth.org,,Bethlehem,PA,18018-6330,-75.36612648,40.62206904
Open Door Community Health Centers,550 E Washington Blvd,,707-465-6925,,,Crescent City,CA,95531-8160,-124.198922,41.77274748
"Clinicas del Camino Real, Inc.",500 E Main St,www.clinicas.org,,,,Santa Paula,CA,93060-2607,-119.0686639,34.35118615
Penobscot Community Health Center,53 Schoodic Dr,,207-338-6900,,,Belfast,ME,04915-7246,-69.02348377,44.41865594
"Health Services of North Texas , Inc.",4308 Mesa Dr,healthntx.org,940-381-1501,,,Denton,TX,76207-3459,-97.17729506,33.23469544
"UNITED NEIGHBORHOOD HEALTH SERVICES, INC.",526 8th Ave S,www.neighborhoodhealthtn.org,615-227-3000,,,Nashville,TN,37203-4139,-86.77926506,36.15238967
Five Rivers Health Centers,1659 W 2nd St,,937-376-5437,sueraygilbert@yahoo.com,,Xenia,OH,45385-4205,-83.9582627,39.68144281
"COLORADO COALITION FOR THE HOMELESS, THE",1410 Moline St Apt 108,www.coloradocoalition.org,303-363-8391,tbarychewsky@coloradocoalition.org,,Aurora,CO,80010-3625,-104.8538685,39.73859067
Family Medical Center of Michigan Inc,3498 Treat Hwy,,517-263-1800,,,Adrian,MI,49221-9763,-84.02280898,41.86849899
"Douglas County Public Health Services Group, Inc.",1340 S Sam Houston Blvd,www.mo-ozarks.org,417-683-5739,,,Houston,MO,65483-2045,-91.95956285,37.31534596
"VALLEY HEALTH TEAM, INC.",942 S Madera Ave,,559-846-9150,jchappell@vht.org,,Kerman,CA,93630-1743,-120.0601125,36.72124601
"Kinston Community Health Center, Incorporated",3400 Ferrell Rd,https://cssk8.wordpress.com/,252-527-8591,,,Kinston,NC,28501-7136,-77.52209296,35.32001098
"HARBOR HOMES, INC.",80 Heron Pond Rd,harborcarenh.org,603-821-7788,m.lavalley@nhpartnership.org,,Milford,NH,03055-3245,-71.69418502,42.82639998
DENVER HEALTH AND HOSPITALS AUTHORITY,1700 E Louisiana Ave,www.denverhealth.org,720-423-6260,patricia.braun@dhha.org,,Denver,CO,80210-1810,-104.965892,39.69293252
"Comprehensive Community Health Centers, Inc.",801 S Chevy Chase Dr Ste 25,,818-630-2201,davidlo@cchccenters.org,,Glendale,CA,91205-4431,-118.240269,34.13658298
"East Liberty Family Health Care Center, Inc.",7157 Mary Peck Bond Pl,,412-897-8933,,,Pittsburgh,PA,15206-1236,-79.89734997,40.47229
WAIMANALO HEALTH CENTER,41-1295 Kalanianaole Hwy,,808-259-7948,,,Waimanalo,HI,96795-1536,-157.7143026,21.3468585
"GREAT SALT PLAINS HEALTH CENTER, INC.",405 S Oklahoma Ave,,580-596-2800,,,Cherokee,OK,73728-2545,-98.35845054,36.75459766
BERTIE COUNTY RURAL HEALTH ASSOCIATION,307 S Main St,bcrha.org,252-348-2545,,,Lewiston,NC,27849-9695,-77.17862084,36.12034519
"Gardner Family Health Network, Inc.",1621 Gold St,https://gardnerhealthservices.org/,408-935-3900,,,Alviso,CA,95002-3530,-121.9760152,37.42478319
"Operation Samahan, Inc.",1428 Highland Ave,www.operationsamahan.org,844-200-2426,eprimero@samahanhealth.org,,National City,CA,91950-4624,-117.0966374,32.67251801
THE R O A D S FOUNDATION,4525 E Atherton St,,310-627-5850,,,Long Beach,CA,90815-3700,-118.1397692,33.78987847
NEIGHBORHOOD IMPROVEMENT PROJECT INC,501 E Broad St,mapbt.com,706-790-4440,jrrichards@mapbt.com,,Wrens,GA,30833-1185,-82.38364324,33.20920775
"Cornerstone Care, Inc.",118 S Pittsburgh St,,724-628-3710,rrinehart@cornerstonecare.com,,Connellsville,PA,15425-3531,-79.58920355,40.0170854
Su Clinica Familiar,TX-107 & La Feria Ave,www.suclinica.org,956-365-6071,,,Santa Rosa,TX,78593,-97.82537988,26.25508006
REGIONAL HEALTH REACH INC,175 N Clinton Ave,n/a,585-368-3720,,,Rochester,NY,14604-1109,-77.60797461,43.16062611
"Teche Action Board, Inc.",22187 Highway 20,,337-828-2550,,,Vacherie,LA,70090-3621,-90.71053497,29.96339701
LEGACY COMMUNITY HEALTH SERVICES INC,400 Keene St,,832-548-5000,calexander@legacycommunityhealth.org,,Galena Park,TX,77547-3200,-95.23644887,29.73545304
"CAROLINA HEALTH CENTERS, INC.",420 Epting Ave,www.carolinahealthcenters.org,864-330-8230,,,Greenwood,SC,29646-4040,-82.15744341,34.17131348
"Coastal Family Health Center, Inc.",11231 Old 63 S,,601-947-8268,,,Lucedale,MS,39452-4941,-88.55557674,30.92613099
SAINT JAMES HEALTH INC,332 S 8th St,,973-789-8111,,,Newark,NJ,07103-2173,-74.19936346,40.73855034
"Dirne Health Centers, Inc.",4970 N Manufacturing Way STE 1,,208-620-5200,,,Coeur D Alene,ID,83815-6028,-116.8383425,47.72690557
PALAU MINISTRY OF HEALTH,Medalaii Koror State,none,680-488-4575,,,Medalaii KororPalau,PW,96939,134.4872,7.346
"Mercy Health Services, Inc.",1820 Downs Blvd,,615-595-0324,cindys@mercytn.org,,Franklin,TN,37064-6859,-86.90032812,35.91790059
NEIGHBORHOOD IMPROVEMENT PROJECT INC,1113 Garredd Blvd,www.mapbt.com,706-790-4440,jrrichards@mapbt.com,,Augusta,GA,30909-6752,-82.09754918,33.48710899
Bay Area Community Health,3434 Silver Creek Rd RM M1,,408-729-9700,cpine@bach.health,,San Jose,CA,95121-1845,-121.805124,37.30409401
"Community Health Clinic, Inc.",218 S Maple Ave STE 102,,724-335-3334,,,Greensburg,PA,15601-3200,-79.54270629,40.30098067
SPRINGFIELD MEDICAL CARE SYSTEM INC,100 River St,www.springfieldmed.org,802-885-7629,amajka@northstarfqhc.org,,Springfield,VT,05156-2930,-72.48627847,43.30252335
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",3025 Beyer Blvd Ste 101,www.syhc.org,619-662-4100,,,San Diego,CA,92154-3432,-117.0656737,32.57281602
"Westside Family Healthcare, Inc.",27 Marrows Rd,WWW.WESTSIDEHEALTH.ORG,302-455-0900,,,Newark,DE,19713-3701,-75.72688292,39.66475474
Clinica Sierra Vista,704 Lebec Rd,www.clinicasierravista.org,661-248-5250,stacy.ferreira@clinicasierravista.org,,Lebec,CA,93243-4049,-118.8843493,34.82090331
Children's Clinic 'serving Children And Their Families' The,455 E Columbia St STE 201,www.thechildrensclinic.org,844-822-4646,,,Long Beach,CA,90806-1620,-118.1874426,33.80900748
MARIN CITY HEALTH & WELLNESS CENTER,6301 3rd St,,415-339-8813,,,San Francisco,CA,94124-3501,-122.3963009,37.72073109
"Susquehanna Community Health And Dental Clinic, Inc.",136 Grimesville Rd,,570-567-5400,,,Williamsport,PA,17701-9696,-77.07163959,41.25268282
"UNITY HEALTH CARE, INC.",4430 Benning Rd NE,www.unityhealthcare.org,202-469-4699,,,Washington,DC,20019,-76.93801311,38.89096321
YAKIMA VALLEY FARM WORKERS CLINIC ADMIN,3990 Abbey Ln Ste 103,www.yfvwc.com,503-325-8315,,,Astoria,OR,97103-2241,-123.7973797,46.19464745
MEDCURA HEALTH,3630 Shallowford Rd NE,https://medcura.org/,404-298-8998,charity.walsh@oakmed.org,,Doraville,GA,30340-1019,-84.2870105,33.89573675
"Alcona Citizens For Health, Inc.",100 N Ripley St Ste C,,989-356-0673,,,Alpena,MI,49707-2978,-83.45210891,45.06176999
SANTA ROSA COMMUNITY HEALTH CENTERS,1110 N Dutton Ave,,707-547-2222,,,Santa Rosa,CA,95401-4606,-122.7298598,38.44673215
"HealthNet, Inc.",1522 W Morris St,www.indyhealthnet.org,317-957-2500,,,Indianapolis,IN,46221-1629,-86.18815003,39.75126746
DEPARTMENT OF COMMUNITY HEALTH GEORGIA,339 S Broad St,http://www.phoebehealth.com/locations/phoebe-sumter-medical-center/ellaville-clinic,229-937-5321,stephen.register@dch.ga.gov,,Ellaville,GA,31806-3304,-84.30875031,32.23287264
"SANTA BARBARA, COUNTY OF",Anonymous,,805-925-2160,darrin.eisenbarth@sbcphd.org,,Santa Maria,CA,93454,-120.426735,34.958045
"SOLANO, COUNTY OF",2101 Courage Dr,http://www.solanocounty.com/depts/ph/fhs/locations_and_hours/fairfield_pediatric_primary_care.asp,707-784-2120,,,Fairfield,CA,94533-6717,-122.0676641,38.23736512
"Charles Drew Health Center, Inc.",1490 N 16th St,www.CharlesDrew.com,402-345-9860,,,Omaha,NE,68102-4101,-95.93729609,41.27284356
"Community Care of West Virginia, Inc.",4498 Potomac Highlands Trl,www.ccwv.org,304-456-5115,heather.powell@ccwv.org,,Green Bank,WV,24944,-79.84653835,38.41528906
SPRINGFIELD MEDICAL CARE SYSTEM INC,55 Main St,,802-875-5399,amajka@northstarfqhc.org,,Chester,VT,05143-9115,-72.59652015,43.26359243
SQUIRREL HILL HEALTH CENTER,4516 Browns Hill Rd,,412-422-7442,sfkalson@squirrelhillhealthcenter.org,,Pittsburgh,PA,15217-2917,-79.92578818,40.41689681
"COLORADO COALITION FOR THE HOMELESS, THE",388 E 88th Ave,www.coloradocoalition.org,303-430-0157,tbarychewsky@coloradocoalition.org,,Thornton,CO,80229-4430,-104.981743,39.85625247
"First Choice Community Healthcare, Inc.",2300 Arenal Rd SW,www.fcch.com,505-873-0220,,,Albuquerque,NM,87105-4160,-106.6957006,35.05091296
COVENANT COMMUNITY CARE INC,32932 Warren Rd,,734-298-0203,,,Westland,MI,48185-3095,-83.36625668,42.3393573
HEALTH ACCESS NETWORK,15 Reed Dr,www.hanfqhc.org,207-794-6700,,,Lincoln,ME,04457-1713,-68.49910736,45.37845576
"COMMUNITY HEALTH SYSTEMS, INC.",2750 Flat Top Rd,,304-252-8324,,,Ghent,WV,25843,-81.10787893,37.62927237
LEGACY COMMUNITY HEALTH SERVICES INC,2222 Cleburne St # 108,https://legacycommunityhealth.org,832-548-5000,calexander@legacycommunityhealth.org,,Houston,TX,77004-5177,-95.37079452,29.72957556
Great Mines Health Center,1 Southtowne Dr,GMHCenter.org,573-438-9355,,,Potosi,MO,63664,-90.77555797,37.91817982
